CODIGO;DENOMINACION_GENERICA_ES;DENOMINACION_GENERICA_VAL;DENOMINACION_ESPECIFICA;DENOMINACION;REGIMEN;TIPO_VIA;DIRECCION;NUMERO;CODIGO_POSTAL;LOCALIDAD;PROVINCIA;TELEFONO;FAX;COD_EDIFICACION;LONGITUD;LATITUD;TITULARIDAD;CIF;COMARCA
03001246;CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL I PRIMÀRIA;SAN JUAN DE LA CRUZ;CENTRE PRIVAT SAN JUAN DE LA CRUZ;PRIV. CONC.;CL;GENERAL ESPARTERO;6;3012;ALACANT;ALACANT;965248181;; 1,0;-0.482847;38.35779;;;L'ALACANTÍ
03001313;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;SANTA TERESA-VISTAHERMOSA;CENTRE PRIVAT SANTA TERESA-VISTAHERMOSA;PRIV. CONC.;CL;CRUZ DE PIEDRA;1;3015;ALACANT;ALACANT;965262000;965262111; 1,0;-0.463223;38.364331;;;L'ALACANTÍ
03001428;CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL I PRIMÀRIA;CENTRO DIOCESANO NTRA.SRA.DEL CARMEN DE CASALARGA;CENTRE PRIVAT CENTRO DIOCESANO N.S.DEL CARMEN DE CASALARGA;PRIV. CONC.;PZ;GARCÍA LORCA;16;3015;ALACANT;ALACANT;965183537;965183537; 1,0;-0.479611;38.372124;;;L'ALACANTÍ
03001431;ESCUELA INFANTIL DE PRIMER CICLO;ESCOLA INFANTIL DE PRIMER CICLE;BENACANTIL;EI 1ER CICLE BENACANTIL;PÚB.;CL;EJÉRCITOS ESPAÑOLES;S/N;3014;ALACANT;ALACANT;965918710;965918711; 1,0;-0.482746;38.369552;GENERALITAT VALENCIANA;Q5355333E;L'ALACANTÍ
03001477;COLEGIO DE EDUCACIÓN PRIMARIA;COL·LEGI D'EDUCACIÓ PRIMÀRIA;CAES CENTRO DE RECEPCIÓN;CEP CAES CENTRO DE RECEPCIÓN;PÚB.;CL;PRIMITIVO PÉREZ;21;3010;ALACANT;ALACANT;965937330;965937331; 1,0;-0.487003;38.358913;GENERALITAT VALENCIANA;Q5355540E;L'ALACANTÍ
03001490;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;SAN FERNANDO;CEIP SAN FERNANDO;PÚB.;CL;CIUDAD REAL;33;3005;ALACANT;ALACANT;965936360;965936361; 1,0;-0.499086;38.35475;GENERALITAT VALENCIANA;Q5355546B;L'ALACANTÍ
03001507;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;PEDRO DUQUE;CEIP PEDRO DUQUE;PÚB.;CL;ARTISTA FOGUERER;2;3015;ALACANT;ALACANT;965919680;965919681; 1,0;-0.469966;38.368873;GENERALITAT VALENCIANA;Q5355559E;L'ALACANTÍ
03001519;COLEGIO DE EDUCACIÓN PRIMARIA;COL·LEGI D'EDUCACIÓ PRIMÀRIA;MAESTRO LÓPEZ SORIA;CEP MAESTRO LÓPEZ SORIA;PÚB.;AV;ALCALDE LORENZO CARBONELL;3;3008;ALACANT;ALACANT;965937350;965937351; 1,0;-0.50279;38.339291;GENERALITAT VALENCIANA;Q5355558G;L'ALACANTÍ
03001544;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;AUSIÀS MARCH;CEIP AUSIÀS MARCH;PÚB.;CL;CERES;S/N;3009;ALACANT;ALACANT;965919030;965919031; 1,0;-0.494025;38.360049;GENERALITAT VALENCIANA;Q5355124H;L'ALACANTÍ
03001568;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;JOAQUÍN SOROLLA;CEIP JOAQUÍN SOROLLA;PÚB.;CL;ALBACETE;S/N;3005;ALACANT;ALACANT;965936270;965936271; 1,0;-0.497485;38.350785;GENERALITAT VALENCIANA;Q5355115F;L'ALACANTÍ
03001571;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;CARLOS ARNICHES;CEIP CARLOS ARNICHES;PÚB.;CL;ALONSO CANO;19;3014;ALACANT;ALACANT;965919740;965919741; 1,0;-0.480233;38.364653;GENERALITAT VALENCIANA;Q5355123J;L'ALACANTÍ
03001581;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;FLORIDA;CEIP FLORIDA;PÚB.;CL;PIANISTA GONZALO SORIANO;3;3007;ALACANT;ALACANT;965936220;965936221; 1,0;-0.508267;38.340007;GENERALITAT VALENCIANA;Q5355054G;L'ALACANTÍ
03001601;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;CAMPOAMOR;CEIP CAMPOAMOR;PÚB.;PS;DE CAMPOAMOR;1;3010;ALACANT;ALACANT;965919730;965919731; 1,0;-0.486806;38.355123;GENERALITAT VALENCIANA;Q5355549F;L'ALACANTÍ
03001623;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;LA PAZ;CEIP LA PAZ;PÚB.;CL;ABOGADO PÉREZ MIRETE;S/N;3011;ALACANT;ALACANT;965936320;965936321; 1,0;-0.4922;38.373308;GENERALITAT VALENCIANA;Q5355552J;L'ALACANTÍ
03001647;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;PRÁCTICAS-LA ANEJA;CEIP PRÁCTICAS-LA ANEJA;PÚB.;CL;MONTE TOSSAL;S/N;3004;ALACANT;ALACANT;965937360;965937361; 1,0;-0.493242;38.351997;GENERALITAT VALENCIANA;Q5355092G;L'ALACANTÍ
03001659;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;SAN GABRIEL;CEIP SAN GABRIEL;PÚB.;CL;MÚSICO JOSÉ ALCARAZ PÉREZ;4;3008;ALACANT;ALACANT;965936380;965936381; 1,0;-0.514774;38.33102;GENERALITAT VALENCIANA;Q5355544G;L'ALACANTÍ
03001660;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;SAN FRANCISCO DE ASÍS;CEIP SAN FRANCISCO DE ASÍS;PÚB.;CL;CEFEO;82;3006;ALACANT;ALACANT;965937370;965937371; 1,0;-0.515231;38.347631;GENERALITAT VALENCIANA;Q5355545D;L'ALACANTÍ
03001672;COLEGIO DE EDUCACIÓN PRIMARIA;COL·LEGI D'EDUCACIÓ PRIMÀRIA;VIRGEN DEL REMEDIO;CEP VIRGEN DEL REMEDIO;PÚB.;CL;LAS PALMAS;1;3014;ALACANT;ALACANT;965937310;965937311; 1,0;-0.486212;38.371035;GENERALITAT VALENCIANA;Q5355063H;L'ALACANTÍ
03001726;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;SANTÍSIMO SACRAMENTO FEYDA;CENTRE PRIVAT SANTÍSIMO SACRAMENTO FEYDA;PRIV. CONC.;CL;NOU D'OCTUBRE;1;3012;ALACANT;ALACANT;965258356;965259401; 1,0;-0.48475;38.356313;;;L'ALACANTÍ
03001751;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;JESÚS MARÍA;CENTRE PRIVAT JESÚS MARÍA;PRIV. CONC.;CL;CAMINO DE LAS PARRAS;5;3112;ALACANT - VILLAFRANQUEZA;ALACANT;965181796;965181762; 1,0;-0.488535;38.386157;;;L'ALACANTÍ
03001775;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;DON BOSCO - SALESIANOS;CENTRE PRIVAT DON BOSCO - SALESIANOS;PRIV. CONC.;AV;VICENTE BLASCO IBÁÑEZ;1;3005;ALACANT;ALACANT;965924842;965924844; 1,0;-0.504738;38.35177;;;L'ALACANTÍ
03001787;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;CALASANCIO;CENTRE PRIVAT CALASANCIO;PRIV. CONC.;AV;DE DÉNIA;76;3016;ALACANT;ALACANT;965262510;965151400; 1,0;-0.468228;38.358375;;;L'ALACANTÍ
03001829;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;MÉDICO PEDRO HERRERO;CENTRE PRIVAT MÉDICO PEDRO HERRERO;PRIV. CONC.;CL;VICTOR DE LA SERNA;37-39;3006;ALACANT;ALACANT;965102455;965103197; 1,0;-0.515928;38.34941;;;L'ALACANTÍ
03001854;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;ÓSCAR ESPLÁ;CEIP ÓSCAR ESPLÁ;PÚB.;PZ;DE LA LIBERTAD;1;3010;ALACANT;ALACANT;965937105;965937106; 1,0;-0.493805;38.365862;GENERALITAT VALENCIANA;Q5355091I;L'ALACANTÍ
03001881;INSTITUTO DE EDUCACIÓN SECUNDARIA;INSTITUT D'EDUCACIÓ SECUNDÀRIA;JORGE JUAN;IES JORGE JUAN;PÚB.;CL;WENCESLAO FERNÁNDEZ FLORES;2;3004;ALACANT;ALACANT;965936490;965936491; 1,0;-0.493033;38.349339;GENERALITAT VALENCIANA;Q5355571J;L'ALACANTÍ
03001891;INSTITUTO DE EDUCACIÓN SECUNDARIA;INSTITUT D'EDUCACIÓ SECUNDÀRIA;MIGUEL HERNÁNDEZ;IES MIGUEL HERNÁNDEZ;PÚB.;CL;POETA GARCILASO;8;3005;ALACANT;ALACANT;965936545;965936546; 1,0;-0.495388;38.350607;GENERALITAT VALENCIANA;Q5355570B;L'ALACANTÍ
03001908;INSTITUTO DE EDUCACIÓN SECUNDARIA;INSTITUT D'EDUCACIÓ SECUNDÀRIA;FIGUERAS PACHECO;IES FIGUERAS PACHECO;PÚB.;CL;FERNANDO MADROÑAL;35;3007;ALACANT;ALACANT;965936495;965936496; 1,0;-0.511393;38.340419;GENERALITAT VALENCIANA;Q5355573F;L'ALACANTÍ
03001911;INSTITUTO DE EDUCACIÓN SECUNDARIA;INSTITUT D'EDUCACIÓ SECUNDÀRIA;ANTONIO JOSÉ CAVANILLES;IES ANTONIO JOSÉ CAVANILLES;PÚB.;AV;ALCALDE LORENZO CARBONELL;32-34;3007;ALACANT;ALACANT;965936500;965936501; 1,0;-0.507538;38.339367;GENERALITAT VALENCIANA;Q5355563G;L'ALACANTÍ
03001957;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;SANTÍSIMA FAZ;CEIP SANTÍSIMA FAZ;PÚB.;CL;BARÍTONO PACO LATORRE;S/N;3015;ALACANT;ALACANT;965936390;965936391; 1,0;-0.485252;38.377459;GENERALITAT VALENCIANA;Q5355060D;L'ALACANTÍ
03002007;INSTITUTO DE FORMACIÓN PROFESIONAL SUPERIOR;INSTITUT DE FORMACIÓ PROFESSIONAL SUPERIOR;MARÍTIMO PESQUERO DEL MEDITERRÁNEO;IFPS MARÍTIMO PESQUERO DEL MEDITERRÁNEO;PÚB.;CL;MUELLE PESQUERO;S/N;3001;ALACANT;ALACANT;965227240;965921003; 1,0;-0.486649;38.337078;GENERALITAT VALENCIANA *;;L'ALACANTÍ
03002044;CENTRO PRIVADO DE EDUCACIÓN PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ PRIMÀRIA I SECUNDÀRIA;SAN RAIMUNDO DE PEÑAFORT;CENTRE PRIVAT SAN RAIMUNDO DE PEÑAFORT;PRIV. CONC.;CL;RÍO TURIA;25-29;3690;SANT VICENT DEL RASPEIG;ALACANT;965660748;965662286; 1,0;-0.502882;38.391211;;;L'ALACANTÍ
03002101;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;RAFAEL ALTAMIRA;CEIP RAFAEL ALTAMIRA;PÚB.;CL;TOMÁS AZNAR DOMENECH;S/N;3007;ALACANT;ALACANT;965936330;965936331; 1,0;-0.514512;38.340865;GENERALITAT VALENCIANA;Q5355548H;L'ALACANTÍ
03002160;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;LA CAÑADA DEL FENOLLAR;CEIP LA CAÑADA DEL FENOLLAR;PÚB.;CR;ALCORAYA;50;3699;ALACANT - LA CAÑADA;ALACANT;965937005;965937006; 1,0;-0.566592;38.403146;GENERALITAT VALENCIANA;Q5355185I;L'ALACANTÍ
03002238;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;LA CONDOMINA;CEIP LA CONDOMINA;PÚB.;AV;PAÍSES ESCANDINAVOS (PLAYA SAN JUAN);17;3540;ALACANT;ALACANT;965936300;965936301; 1,0;-0.418046;38.372255;GENERALITAT VALENCIANA;Q5355557I;L'ALACANTÍ
03002241;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;LOS ALMENDROS;CEIP LOS ALMENDROS;PÚB.;CL;IGLESIA;2;3113;ALACANT - REBOLLEDO;ALACANT;965937110;965937111; 1,0;-0.610522;38.343941;GENERALITAT VALENCIANA;Q5355182F;L'ALACANTÍ
03002305;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;VERDEGAS;CEIP VERDEGAS;PÚB.;CR;VERDEGAS;32;3699;ALACANT - VERDEGAS;ALACANT;965918740;965918741; 1,0;-0.58352;38.404837;GENERALITAT VALENCIANA;Q5355181H;L'ALACANTÍ
03002317;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;JUAN BAUTISTA LLORCA;CEIP JUAN BAUTISTA LLORCA;PÚB.;CL;PI Y MARGALL;2;3112;ALACANT - VILLAFRANQUEZA;ALACANT;965918705;965918706; 1,0;-0.492514;38.385383;GENERALITAT VALENCIANA;Q5355180J;L'ALACANTÍ
03002381;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;;CEIP DE ALMORADÍ - HEREDADES;PÚB.;AV;DE LOS LLANOS;6;3179;ALMORADÍ - HEREDADES;ALACANT;965290375;965290376; 1,0;-0.762358;38.09108;GENERALITAT VALENCIANA;Q5355152I;EL BAIX SEGURA/ LA VEGA BAJA
03002408;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;CANALES Y MARTÍNEZ;CEIP CANALES Y MARTÍNEZ;PÚB.;CL;COMUNIDAD VALENCIANA;64;3160;ALMORADÍ;ALACANT;965290130;965290131; 1,0;-0.787218;38.107366;GENERALITAT VALENCIANA;Q5355157H;EL BAIX SEGURA/ LA VEGA BAJA
03002433;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;SANTA MARÍA DE LA HUERTA;CENTRO PRIVADO SANTA MARÍA DE LA HUERTA;PRIV. CONC.;CL;ERALTA;129;3160;ALMORADÍ;ALACANT;965700678;965700678; 1,0;-0.786773;38.11518;;;EL BAIX SEGURA/ LA VEGA BAJA
03002445;INSTITUTO DE EDUCACIÓN SECUNDARIA;INSTITUT D'EDUCACIÓ SECUNDÀRIA;ANTONIO SEQUEROS;IES ANTONIO SEQUEROS;PÚB.;CL;COMUNIDAD VALENCIANA;55;3160;ALMORADÍ;ALACANT;966926770;966926771; 1,0;-0.786397;38.107957;GENERALITAT VALENCIANA;Q5355155B;EL BAIX SEGURA/ LA VEGA BAJA
03002470;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;VIRGEN DEL PILAR;CEIP VIRGEN DEL PILAR;PÚB.;CL;MAESTRO FIDEL GÓMEZ;1;3187;LOS MONTESINOS;ALACANT;965290175;965290176; 1,0;-0.742478;38.029281;GENERALITAT VALENCIANA;Q5355478H;EL BAIX SEGURA/ LA VEGA BAJA
03002573;INSTITUTO DE EDUCACIÓN SECUNDARIA;INSTITUT D'EDUCACIÓ SECUNDÀRIA;BELLAGUARDA;IES BELLAGUARDA;PÚB.;CL;GALOTXA;1;3590;ALTEA;ALACANT;966816070;966816071; 1,0;-0.045746;38.604698;GENERALITAT VALENCIANA;Q5355148G;LA MARINA BAIXA
03002615;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;LA OLLA;CEIP LA OLLA;PÚB.;PD;L'OLLA;123;3590;ALTEA - L'OLLA;ALACANT;966816370;966816371; 1,0;-0.033136;38.617969;GENERALITAT VALENCIANA;Q5355144F;LA MARINA BAIXA
03002652;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;DOCTOR CALATAYUD;CEIP DOCTOR CALATAYUD;PÚB.;CL;GREGORIO RIZO;23;3680;ASPE;ALACANT;966912000;966912001; 1,0;-0.770953;38.344416;GENERALITAT VALENCIANA;Q5355142J;EL VINALOPÓ MITJÀ/ EL VINALOPÓ MEDIO
03002664;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;LA PALOMA;CEIP LA PALOMA;PÚB.;CL;VIRGEN DE LA ESPERANZA;40;3680;ASPE;ALACANT;966912005;966912006; 1,0;-0.767796;38.338267;GENERALITAT VALENCIANA;Q5355139F;EL VINALOPÓ MITJÀ/ EL VINALOPÓ MEDIO
03002676;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;PERPETUO SOCORRO;CEIP PERPETUO SOCORRO;PÚB.;CL;MAESTRO ALCOLEA;1-3;3680;ASPE;ALACANT;966912010;966912011; 1,0;-0.765081;38.340066;GENERALITAT VALENCIANA;Q5355136B;EL VINALOPÓ MITJÀ/ EL VINALOPÓ MEDIO
03002721;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;VIRGEN DE LAS NIEVES;CENTRO PRIVADO VIRGEN DE LAS NIEVES;PRIV. CONC.;CL;PEDRO GALIPIENSO;23;3680;ASPE;ALACANT;965490690;965495213; 1,0;-0.766962;38.348379;;;EL VINALOPÓ MITJÀ/ EL VINALOPÓ MEDIO
03002731;INSTITUTO DE EDUCACIÓN SECUNDARIA;INSTITUT D'EDUCACIÓ SECUNDÀRIA;LA NÍA;IES LA NÍA;PÚB.;CL;LOPE DE VEGA;2;3680;ASPE;ALACANT;966912205;966912206; 1,0;-0.767637;38.338543;GENERALITAT VALENCIANA;Q5355138H;EL VINALOPÓ MITJÀ/ EL VINALOPÓ MEDIO
03002767;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;ALFONSO INIESTA;CEIP ALFONSO INIESTA;PÚB.;CL;DEL LLAVADOR;1;3450;BANYERES DE MARIOLA;ALACANT;966527835;966527836; 1,0;-0.65654;38.720878;GENERALITAT VALENCIANA;Q5355133I;L'ALCOIÀ
03002779;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;FUNDACIÓN RIBERA;CENTRE PRIVAT FUNDACIÓN RIBERA;PRIV. CONC.;PZ;AJUNTAMENT;3;3450;BANYERES DE MARIOLA;ALACANT;965566565;966567535; 1,0;-0.656781;38.716522;;;L'ALCOIÀ
03002792;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;DIVINA AURORA;CEIP DIVINA AURORA;PÚB.;CL;CARDENAL PAYA;132;3460;BENEIXAMA;ALACANT;965823095;965823096; 1,0;-0.762649;38.700449;GENERALITAT VALENCIANA;Q5355131C;L'ALT VINALOPÓ/ EL ALTO VINALOPÓ
03002871;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;ANTONIO SEQUEROS;CEIP ANTONIO SEQUEROS;PÚB.;CL;COMANDANTE BERNABÉ;43;3390;BENEJÚZAR;ALACANT;966904275;966904276; 1,0;-0.835847;38.075232;GENERALITAT VALENCIANA;Q5355457B;EL BAIX SEGURA/ LA VEGA BAJA
03002883;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;ARGENTINA;CEIP ARGENTINA;PÚB.;CR;ABANILLA;4;3316;BENFERRI;ALACANT;966904220;966904221; 1,0;-0.961617;38.144902;GENERALITAT VALENCIANA;V03002888;EL BAIX SEGURA/ LA VEGA BAJA
03002895;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;BENICADIM;CEIP BENICADIM;PÚB.;AV;VICENT ANDRÉS ESTELLÉS;2;3778;BENIARBEIG;ALACANT;966428800;966428801; 1,0;-0.009236;38.820272;GENERALITAT VALENCIANA;Q5355456D;LA MARINA ALTA
03002901;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;LA PURÍSIMA;CEIP LA PURÍSIMA;PÚB.;CL;CARRETERA;1;3517;BENIARDÁ;ALACANT;966870815;966870816; 1,0;-0.216304;38.682839;GENERALITAT VALENCIANA;Q5355455F;LA MARINA BAIXA
03002949;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;LA PENYA BLANCA;CEIP LA PENYA BLANCA;PÚB.;CL;LLARG;62;3794;BENIGEMBLA;ALACANT;966409935;966409936; 1,0;-0.107146;38.755715;GENERALITAT VALENCIANA;Q5355454I;LA MARINA ALTA
03002950;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;MESTRAL;CEIP MESTRAL;PÚB.;CL;RACONÀ;11;3759;BENIDOLEIG;ALACANT;966409920;966409921; 1,0;-0.029217;38.790971;GENERALITAT VALENCIANA;Q5355453A;LA MARINA ALTA
03002974;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;VASCO NÚÑEZ DE BALBOA;CEIP VASCO NÚÑEZ DE BALBOA;PÚB.;CL;CAPITÁN CORTÉS;S/N;3502;BENIDORM;ALACANT;966870820;966870821; 1,0;-0.135714;38.546462;GENERALITAT VALENCIANA;Q5355011G;LA MARINA BAIXA
03003000;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;LA CALA;CEIP LA CALA;PÚB.;AV;DE LA MARINA BAIXA;9;3502;BENIDORM;ALACANT;966870910;966870911; 1,0;-0.159856;38.537168;GENERALITAT VALENCIANA;Q5355444J;LA MARINA BAIXA
03003048;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;LEONOR CANALEJAS;CEIP LEONOR CANALEJAS;PÚB.;CL;ESCUELAS;S/N;3501;BENIDORM;ALACANT;966870825;966870826; 1,0;-0.130288;38.539279;GENERALITAT VALENCIANA;Q5355443B;LA MARINA BAIXA
03003061;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;LOPE DE VEGA;CENTRE PRIVAT LOPE DE VEGA;PRIV.;AV;DEL DOCTOR SEVERO OCHOA;9;3503;BENIDORM;ALACANT;965854150;965867943; 1,0;-0.103021;38.543439;;;LA MARINA BAIXA
03003073;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;NUESTRA SEÑORA DE LOS DOLORES;CENTRE PRIVAT NUESTRA SEÑORA DE LOS DOLORES;PRIV. CONC.;CL;EL PAL;6;3501;BENIDORM;ALACANT;965854095;965854095; 1,0;-0.129025;38.53596;;;LA MARINA BAIXA
03003139;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;;CEIP DE BENIFATO;PÚB.;CL;ESCUELAS;19;3517;BENIFATO;ALACANT;966870865;966870866; 1,0;-0.229833;38.673374;GENERALITAT VALENCIANA;Q5355440H;LA MARINA BAIXA
03003140;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;SAN JAIME;CEIP SAN JAIME;PÚB.;CL;FRANCISCO RIBERA;S/N;3178;BENIJÓFAR;ALACANT;965290380;965290381; 1,0;-0.735259;38.079645;GENERALITAT VALENCIANA;Q5355439J;EL BAIX SEGURA/ LA VEGA BAJA
03003152;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;VIRGEN DE LOS DOLORES;CEIP VIRGEN DE LOS DOLORES;PÚB.;CL;LA COMARCA;1;3810;BENILLOBA;ALACANT;966527845;966527846; 1,0;-0.38803;38.701462;GENERALITAT VALENCIANA;Q5355438B;EL COMTAT
03003176;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;BENIMANTELL;CEIP BENIMANTELL;PÚB.;CL;CREUETA;18;3516;BENIMANTELL;ALACANT;966870870;966870871; 1,0;-0.210203;38.677352;GENERALITAT VALENCIANA;Q5355437D;LA MARINA BAIXA
